C:\Users\Kyle\Documents\GitHub\AIProjects\AIProjects-master\arrs\randGrid\02.txt
start: ( 11 , 21 )
goal: ( 24 , 87 )
1 11 21 False
1 12 21 True
2 11 21 False
2 11 22 False
2 12 22 False
2 13 22 False
2 14 22 True
3 13 22 False
3 13 23 False
3 14 23 True
4 13 23 False
4 13 24 False
4 14 24 False
4 15 24 False
4 16 24 False
4 17 24 False
4 18 24 False
4 19 24 True
5 18 24 False
5 18 25 False
5 19 25 False
5 20 25 False
5 21 25 False
5 22 25 False
5 23 25 False
5 24 25 False
5 24 26 False
5 24 27 False
5 24 28 False
5 24 29 True
6 24 28 False
6 25 28 False
6 25 29 False
6 25 30 False
6 24 30 False
6 24 31 False
6 24 32 False
6 24 33 False
6 24 34 False
6 24 35 False
6 24 36 True
7 24 35 False
7 25 35 True
8 24 35 False
8 23 35 False
8 23 36 False
8 23 37 False
8 24 37 False
8 24 38 False
8 24 39 False
8 24 40 False
8 24 41 False
8 24 42 False
8 24 43 True
9 24 42 False
9 25 42 False
9 25 43 False
9 25 44 False
9 24 44 False
9 24 45 False
9 24 46 True
10 24 45 False
10 25 45 False
10 25 46 True
11 25 45 False
11 24 45 False
11 23 45 False
11 23 46 False
11 23 47 False
11 24 47 True
12 23 47 False
12 23 48 False
12 24 48 False
12 24 49 False
12 24 50 False
12 24 51 False
12 24 52 False
12 24 53 True
13 24 52 False
13 25 52 False
13 25 53 True
14 25 52 False
14 24 52 False
14 23 52 False
14 23 53 True
15 23 52 False
15 22 52 True
16 23 52 False
16 24 52 False
16 25 52 False
16 26 52 False
16 26 53 True
17 26 52 False
17 27 52 False
17 27 53 False
17 27 54 False
17 26 54 False
17 25 54 False
17 24 54 False
17 24 55 False
17 24 56 True
18 24 55 False
18 25 55 False
18 25 56 False
18 25 57 False
18 24 57 False
18 24 58 True
19 24 57 False
19 25 57 False
19 25 58 False
19 25 59 False
19 24 59 True
20 25 59 False
20 25 60 True
21 25 59 False
21 26 59 False
21 26 60 False
21 26 61 False
21 25 61 False
21 24 61 True
22 25 61 False
22 25 62 False
22 24 62 False
22 24 63 False
22 24 64 False
22 24 65 True
23 24 64 False
23 25 64 False
23 25 65 False
23 25 66 False
23 24 66 True
24 25 66 False
24 25 67 False
24 24 67 False
24 24 68 True
25 24 67 False
25 25 67 False
25 25 68 False
25 25 69 False
25 24 69 True
26 25 69 False
26 25 70 False
26 24 70 True
27 25 70 False
27 25 71 False
27 24 71 False
27 24 72 True
28 24 71 False
28 25 71 False
28 25 72 False
28 25 73 False
28 24 73 True
29 25 73 False
29 25 74 False
29 24 74 False
29 24 75 True
30 24 74 False
30 25 74 False
30 25 75 False
30 25 76 True
31 25 75 False
31 26 75 False
31 26 76 True
32 26 75 False
32 27 75 False
32 27 76 False
32 27 77 False
32 26 77 True
33 27 77 False
33 27 78 True
34 27 77 False
34 28 77 False
34 28 78 False
34 28 79 True
35 28 78 False
35 29 78 False
35 29 79 True
36 29 78 False
36 30 78 True
37 29 78 False
37 29 77 False
37 30 77 False
37 31 77 False
37 31 78 False
37 31 79 False
37 30 79 False
37 30 80 False
37 29 80 False
37 28 80 False
37 27 80 False
37 26 80 False
37 25 80 True
38 26 80 False
38 26 81 False
38 25 81 True
39 26 81 False
39 26 82 True
40 26 81 False
40 27 81 False
40 27 82 False
40 27 83 False
40 26 83 False
40 25 83 False
40 24 83 True
41 25 83 False
41 25 84 False
41 24 84 False
41 24 85 False
41 24 86 False
41 24 87 False
target reached
num-expanded:1391
counter:41
path_length:6
start: ( 11 , 21 )
goal: ( 24 , 87 )
execution_time: 0.21551871299743652
