06
start: ( 21 , 41 )
goal: ( 34 , 56 )
1 21 41 False
1 22 41 True
2 21 41 False
2 21 42 True
3 21 41 False
3 20 41 False
3 20 42 True
4 20 41 False
4 21 41 False
4 21 40 True
5 21 41 False
5 20 41 False
5 19 41 False
5 19 42 False
5 19 43 True
6 19 42 False
6 18 42 True
7 19 42 False
7 19 41 False
7 20 41 False
7 20 40 False
7 20 39 True
8 20 40 False
8 20 41 False
8 19 41 False
8 18 41 True
9 19 41 False
9 19 40 False
9 19 39 True
10 19 40 False
10 18 40 False
10 17 40 False
10 17 41 True
11 17 40 False
11 16 40 False
11 16 41 False
11 16 42 False
11 17 42 False
11 17 43 False
11 18 43 False
11 18 44 False
11 19 44 False
11 20 44 False
11 21 44 True
12 20 44 False
12 20 45 False
12 21 45 True
13 20 45 False
13 20 46 True
14 20 45 False
14 19 45 False
14 19 46 False
14 19 47 False
14 20 47 False
14 20 48 False
14 21 48 True
15 20 48 False
15 20 49 False
15 21 49 False
15 22 49 False
15 23 49 False
15 24 49 True
16 23 49 False
16 23 50 False
16 24 50 True
17 23 50 False
17 23 51 True
18 23 50 False
18 22 50 False
18 22 51 False
18 22 52 True
19 22 51 False
19 21 51 False
19 21 52 False
19 21 53 True
20 21 52 False
20 20 52 False
20 20 53 False
20 20 54 True
21 20 53 False
21 19 53 False
21 19 54 False
21 19 55 True
22 19 54 False
22 18 54 False
22 18 55 False
22 18 56 True
23 18 55 False
23 17 55 True
24 18 55 False
24 18 54 False
24 17 54 False
24 16 54 False
24 16 55 False
24 16 56 True
25 16 55 False
25 15 55 False
25 15 56 True
26 15 55 False
26 14 55 False
26 14 56 False
26 14 57 False
26 15 57 False
26 16 57 False
26 17 57 True
27 16 57 False
27 16 58 True
28 16 57 False
28 15 57 False
28 15 58 True
29 15 57 False
29 14 57 False
29 14 58 False
29 14 59 False
29 15 59 True
30 14 59 False
30 14 60 False
30 15 60 False
30 16 60 False
30 17 60 False
30 18 60 True
31 17 60 False
31 17 59 False
31 18 59 False
31 19 59 False
31 20 59 True
32 19 59 False
32 19 58 False
32 20 58 False
32 21 58 True
33 20 58 False
33 20 57 False
33 21 57 False
33 22 57 False
33 23 57 False
33 24 57 False
33 25 57 False
33 26 57 False
33 27 57 False
33 28 57 False
33 29 57 False
33 30 57 False
33 31 57 False
33 32 57 True
34 31 57 False
34 31 56 True
35 31 57 False
35 31 58 False
35 32 58 False
35 33 58 False
35 34 58 False
35 34 57 True
36 34 58 False
36 35 58 False
36 35 57 False
36 35 56 False
36 34 56 False
target reached
num-expanded:930
counter:36
path_length:5
start: ( 21 , 41 )
goal: ( 34 , 56 )
execution_time: 0.09773802757263184
