16
start: ( 15 , 29 )
goal: ( 40 , 21 )
1 15 29 False
1 16 29 False
1 17 29 True
2 16 29 False
2 16 28 False
2 17 28 True
3 16 28 False
3 16 27 True
4 16 28 False
4 15 28 False
4 15 27 True
5 15 28 False
5 14 28 False
5 14 27 False
5 14 26 False
5 15 26 False
5 16 26 False
5 17 26 False
5 18 26 False
5 19 26 False
5 20 26 True
6 19 26 False
6 19 25 True
7 19 26 False
7 18 26 False
7 18 25 True
8 18 26 False
8 19 26 False
8 19 27 True
9 19 26 False
9 18 26 False
9 17 26 False
9 17 25 False
9 17 24 False
9 18 24 False
9 19 24 False
9 20 24 False
9 21 24 False
9 22 24 False
9 23 24 True
10 22 24 False
10 22 23 False
10 23 23 False
10 24 23 False
10 25 23 False
10 26 23 True
11 25 23 False
11 25 22 True
12 25 23 False
12 24 23 False
12 24 22 False
12 24 21 False
12 25 21 False
12 26 21 False
12 27 21 False
12 28 21 True
13 27 21 False
13 27 22 False
13 28 22 True
14 27 22 False
14 27 21 False
14 27 20 True
15 27 21 False
15 27 22 False
15 27 23 False
15 28 23 True
16 27 23 False
16 27 24 True
17 27 23 False
17 27 22 False
17 27 21 False
17 26 21 False
17 26 20 True
18 26 21 False
18 25 21 False
18 25 20 False
18 25 19 False
18 26 19 False
18 27 19 False
18 28 19 False
18 29 19 False
18 30 19 False
18 31 19 True
19 30 19 False
19 30 20 True
20 30 19 False
20 29 19 False
20 29 20 False
20 29 21 False
20 30 21 False
20 31 21 False
20 32 21 True
21 31 21 False
21 31 22 False
21 32 22 False
21 33 22 True
22 32 22 False
22 32 23 False
22 33 23 False
22 34 23 False
22 35 23 False
22 36 23 True
23 35 23 False
23 35 22 False
23 36 22 False
23 37 22 False
23 38 22 False
23 39 22 False
23 40 22 False
23 40 21 False
target reached
num-expanded:518
counter:23
path_length:8
start: ( 15 , 29 )
goal: ( 40 , 21 )
execution_time: 0.052858829498291016
