Naive Bayes,ValidationData,,TestData,,,Perceptron,ValidationData,,TestData,,,,Naive Bayes,,Perceptron,
Percent Correct,Digits,Faces,Digits,Faces,,Percent Correct,Digits,Faces,Digits,Faces,,Time to finish,Digits,Faces,Digits,Faces
10%,81,56,72,52,,10%,82,84,70,73,,10%,2.33,1.57,19.08,2.22
20%,80,92,75,71,,20%,71,93,71,82,,20%,3.13,1.79,36.97,2.88
30%,83,97,78,75,,30%,84,99,80,85,,30%,4.08,2.07,52.82,3.49
40%,85,96,78,79,,40%,85,99,81,86,,40%,4.97,2.32,69.44,4.23
50%,85,96,79,82,,50%,89,97,80,88,,50%,5.73,2.63,88.07,4.85
60%,83,93,80,83,,60%,87,100,85,85,,60%,6.74,2.76,107.51,5.43
70%,84,92,80,83,,70%,89,100,84,84,,70%,7.53,2.97,120.49,6.13
80%,83,90,80,83,,80%,86,99,83,87,,80%,8.4,3.33,135.65,6.86
90%,84,89,79,83,,90%,89,100,76,87,,90%,9.33,3.54,153.57,7.51
100%,85,89,79,82,,100%,89,98,83,87,,100%,10.24,3.7,171.68,8.1
