,Perceptron,,,,,,NaiveBayes,,,
,Digit accuracy,Digit Std Dev,Face accuracy,Face Std Dev,,,Digit accuracy,Digit Std Dev,Face accuracy,Face Std Dev
10%,77.2,3.24,80,2.44,,10%,78.2,1.32,64.6,13.03
20%,77.4,4.07,81.8,3.96,,20%,78,1.09,69.6,2.8
30%,79.4,1.74,79.2,5.38,,30%,78.4,2.05,77.4,4.63
40%,82.8,2.13,84,2.82,,40%,77.2,2.31,78.4,2.49
50%,82.8,4.16,81.2,0.74,,50%,78.6,1.01,82.4,3.13
60%,81.4,2.33,85.4,3.38,,60%,78,1.41,81.2,2.31
70%,83.14,2.49,87.6,1.49,,70%,77.8,0.74,83,1.67
80%,79.4,3.13,83.6,2.65,,80%,78.4,1.49,82.4,1.2
90%,84.4,2.33,79.8,2.03,,90%,79.8,1.6,81.2,1.16
100%,80.6,2.5,85.4,1.49,,100%,78.8,0.74,81.4,0.48
